epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.2978, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.0612, device='cuda:0')",68.0263947210558
2,"tensor(1.1020, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.7676, device='cuda:0')",81.70365926814637
3,"tensor(0.6899, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3945, device='cuda:0')",85.18296340731854
4,"tensor(0.2504, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2366, device='cuda:0')",88.3623275344931
5,"tensor(0.2901, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1775, device='cuda:0')",88.3623275344931
6,"tensor(0.1315, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1424, device='cuda:0')",89.26214757048591
7,"tensor(0.7972, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3813, device='cuda:0')",90.10197960407919
8,"tensor(0.0503, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1454, device='cuda:0')",90.28194361127774
9,"tensor(0.3931, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1532, device='cuda:0')",90.64187162567487
10,"tensor(0.6985, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1657, device='cuda:0')",90.22195560887822
11,"tensor(0.0091, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3147, device='cuda:0')",90.70185962807439
12,"tensor(0.2862, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2784, device='cuda:0')",90.64187162567487
13,"tensor(0.0445, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0817, device='cuda:0')",90.64187162567487
14,"tensor(0.2146, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1973, device='cuda:0')",89.5620875824835
15,"tensor(0.2578, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5802, device='cuda:0')",90.64187162567487
16,"tensor(0.4066, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5913, device='cuda:0')",90.70185962807439
17,"tensor(0.0790, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6656, device='cuda:0')",90.76184763047391
18,"tensor(0.0395, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5667, device='cuda:0')",90.52189562087582
19,"tensor(0.0047, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2415, device='cuda:0')",90.76184763047391
20,"tensor(0.0079, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3424, device='cuda:0')",90.4619076184763
21,"tensor(0.0279, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5447, device='cuda:0')",90.10197960407919
