epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.2532, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.9829, device='cuda:0')",67.60647870425915
2,"tensor(1.4517, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.2190, device='cuda:0')",80.0239952009598
3,"tensor(0.4391, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4640, device='cuda:0')",83.38332333533293
4,"tensor(0.3866, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2167, device='cuda:0')",85.24295140971806
5,"tensor(0.6259, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2049, device='cuda:0')",85.72285542891422
6,"tensor(0.3885, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1301, device='cuda:0')",86.92261547690462
7,"tensor(1.0672, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1087, device='cuda:0')",88.00239952009598
8,"tensor(0.4615, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0797, device='cuda:0')",89.38212357528494
9,"tensor(0.0290, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2021, device='cuda:0')",89.14217156568687
10,"tensor(0.8755, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1030, device='cuda:0')",89.14217156568687
11,"tensor(1.0907, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1271, device='cuda:0')",89.32213557288543
12,"tensor(0.4237, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3610, device='cuda:0')",88.78224355128974
13,"tensor(0.3535, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1274, device='cuda:0')",89.20215956808639
14,"tensor(0.0767, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3574, device='cuda:0')",89.80203959208158
15,"tensor(0.4329, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1780, device='cuda:0')",89.44211157768446
16,"tensor(0.5603, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1816, device='cuda:0')",89.68206358728254
17,"tensor(0.1224, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5897, device='cuda:0')",89.98200359928015
18,"tensor(0.0768, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1627, device='cuda:0')",89.8620275944811
19,"tensor(0.0620, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0462, device='cuda:0')",89.5620875824835
20,"tensor(0.3795, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1171, device='cuda:0')",89.14217156568687
21,"tensor(0.6433, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2731, device='cuda:0')",89.44211157768446
