epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.7971, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.8109, device='cuda:0')",8.038392321535692
2,"tensor(2.5953, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.8362, device='cuda:0')",13.497300539892022
3,"tensor(2.8317, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.8536, device='cuda:0')",11.697660467906418
4,"tensor(2.3920, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.8658, device='cuda:0')",21.295740851829635
5,"tensor(2.5186, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.7324, device='cuda:0')",23.215356928614277
6,"tensor(2.4985, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.1125, device='cuda:0')",26.454709058188364
7,"tensor(2.7950, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.9332, device='cuda:0')",30.77384523095381
8,"tensor(3.0086, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.1928, device='cuda:0')",31.07378524295141
9,"tensor(2.3756, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.8044, device='cuda:0')",32.63347330533893
10,"tensor(2.5049, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.5993, device='cuda:0')",33.173365326934615
11,"tensor(2.2353, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.0043, device='cuda:0')",36.112777444511096
12,"tensor(2.0768, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.2299, device='cuda:0')",38.99220155968806
13,"tensor(2.2234, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.3154, device='cuda:0')",39.892021595680866
14,"tensor(1.9727, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.7650, device='cuda:0')",37.6124775044991
15,"tensor(1.8715, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.2921, device='cuda:0')",40.31193761247751
16,"tensor(1.8657, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.1629, device='cuda:0')",39.65206958608278
17,"tensor(2.1329, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.3582, device='cuda:0')",44.09118176364727
18,"tensor(2.0143, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.8466, device='cuda:0')",46.01079784043191
19,"tensor(1.6087, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.6997, device='cuda:0')",45.11097780443911
20,"tensor(2.6216, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.8999, device='cuda:0')",41.87162567486503
21,"tensor(1.9508, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.0915, device='cuda:0')",44.39112177564487
