epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.7105428874492645,0.3163426439401326,96.19734789391576,99.33697347893916
1,1.1127109766006469,0.18099066247806161,97.56240249609985,99.66848673946959
2,1.0226497620344162,0.16482805796606864,97.87441497659907,99.76599063962558
3,1.0275409042835235,0.16047085242784712,97.99141965678628,99.74648985959439
4,0.9714669793844223,0.15984317107059282,98.14742589703589,99.7854914196568
5,0.9627682000398636,0.15505748159613886,98.3034321372855,99.76599063962558
6,0.938463780283928,0.1498972019427652,98.4789391575663,99.8244929797192
7,0.8558038860559464,0.1475731050726404,98.53744149765991,99.80499219968799
8,0.8959784358739853,0.14672089813280031,98.4204368174727,99.84399375975039
9,0.9040106534957886,0.14732534613884554,98.57644305772232,99.84399375975039
10,0.9495826900005341,0.1438643385579173,98.59594383775351,99.8634945397816
11,0.8672856330871582,0.14346099234594384,98.71294851794072,99.8634945397816
12,0.8740492343902588,0.1447534903349259,98.63494539781591,99.84399375975039
13,0.8543727964162826,0.14185122580684478,98.71294851794072,99.84399375975039
14,0.8389920711517334,0.14264858680284712,98.82995319812792,99.8634945397816
15,0.8442959368228913,0.141553191424532,98.63494539781591,99.88299531981279
16,0.8587739944458008,0.1409468390454368,98.65444617784712,99.8634945397816
17,0.8367319524288177,0.13821787246489858,98.77145085803433,99.9219968798752
18,0.8425163686275482,0.13886840629875194,98.82995319812792,99.9219968798752
19,0.8202430903911591,0.14077582634555383,98.79095163806552,99.902496099844
20,0.8795330584049225,0.13911521304602184,98.92745709828394,99.8634945397816
21,0.8111197143793106,0.13998893940132606,98.77145085803433,99.88299531981279
22,0.8219654262065887,0.13795544985861935,98.79095163806552,99.88299531981279
23,0.8178530007600784,0.13738090050945787,98.90795631825273,99.902496099844
24,0.8521634131669998,0.13685491267306943,98.94695787831513,99.88299531981279
25,0.8322867155075073,0.13632340215483618,98.94695787831513,99.9219968798752
26,0.8448748707771301,0.14243682051969578,98.88845553822154,99.88299531981279
27,0.8286654353141785,0.13794516624414976,98.88845553822154,99.9219968798752
28,0.8616091191768647,0.136792068362422,98.94695787831513,99.9414976599064
29,0.8462128102779388,0.13955283797289392,98.94695787831513,99.88299531981279
30,0.832955127954483,0.13777662922923167,98.98595943837753,99.9414976599064
31,0.8199593842029571,0.1380464788904056,98.94695787831513,99.9219968798752
32,0.8437305361032486,0.13710876560062402,98.90795631825273,99.88299531981279
33,0.8247160017490387,0.138623503924532,98.84945397815913,99.902496099844
34,0.7961877107620239,0.13977717311817472,98.77145085803433,99.902496099844
35,0.8018311381340026,0.13827957415171607,99.02496099843994,99.902496099844
36,0.8382107496261597,0.13603622269890794,98.92745709828394,99.902496099844
37,0.7784084796905517,0.13452034175117006,99.02496099843994,99.88299531981279
38,0.7523954659700394,0.13257597686719969,99.14196567862714,99.9219968798752
39,0.8209222674369812,0.13499414976599064,98.96645865834634,99.9609984399376
40,0.8137418299913406,0.13408043157663807,99.04446177847115,99.9219968798752
41,0.7895932734012604,0.13564373141331904,99.06396255850234,99.9219968798752
42,0.7983220338821411,0.13699526496684866,98.88845553822154,99.902496099844
43,0.826292660832405,0.1366772346675117,98.88845553822154,99.9219968798752
44,0.7983439773321152,0.13497891478159127,99.00546021840874,99.9219968798752
45,0.8591183841228485,0.13817292926092042,98.88845553822154,99.9219968798752
46,0.7828614175319671,0.1372847296704368,98.90795631825273,99.88299531981279
47,0.771895581483841,0.13688976269988298,98.94695787831513,99.9219968798752
48,0.8011672377586365,0.1334331351769696,99.08346333853355,99.902496099844
49,0.7774154216051101,0.13674464947347895,99.00546021840874,99.9219968798752
50,0.7929310381412507,0.13767760183063574,98.88845553822154,99.9219968798752
51,0.8112959146499634,0.13555079800848283,99.02496099843994,99.9219968798752
52,0.7965197712182999,0.13525790543340482,99.00546021840874,99.902496099844
53,0.7989676654338836,0.13544472442960218,98.96645865834634,99.902496099844
54,0.7603216737508773,0.13624208542560454,98.96645865834634,99.9219968798752
55,0.7771845072507858,0.13460927597260142,98.98595943837753,99.9219968798752
56,0.7629380851984024,0.13596518958414586,99.02496099843994,99.902496099844
